model,ndcg_at_10,recall_at_10,hit_rate_at_10,ndcg_at_20,recall_at_20,mrr,catalog_coverage,novelty_bits,popularity_bias,intra_list_diversity
random,0.00025987184723025064,0.00025240384615384616,0.0025,0.0005771410514134775,0.0012940705128205126,0.0008428030303030304,0.5889614703277236,19.546730922279508,-0.5628965876254067,0.910243560188307
popularity,0.09244053776335147,0.11145592992673947,0.35875,0.1147691701634945,0.17864591508174424,0.16458164594048896,0.006421612046058458,8.036116154973117,0.1350756236081295,0.8258201430148795
countsketch_cf,0.16678210301777027,0.19380487296334115,0.5325,0.19363141605178666,0.2719810752134618,0.2787924850830713,0.06964127546501328,9.326859750823482,0.05680846065082941,0.8245942230230631
als,0.2652299351898659,0.288427352158886,0.69625,0.2980031622403886,0.38526928488400747,0.41538182882111846,0.06969663418954827,10.0671845216096,0.011917190484758772,0.8060795728861564
oracle,1.0,0.955730030413213,1.0,1.0,0.9914843359793784,1.0,0.0866917626217892,12.15001156858904,-0.11437974751429834,0.8053726314905645
