model,build_duration_seconds,offline_training_duration_seconds,dependency_inclusive_build_duration_seconds,offline_peak_process_rss_bytes,inference_latency_p50_ms,inference_latency_p95_ms,serialization_latency_p50_ms,serialization_latency_p95_ms,resident_array_bytes,artifact_size_bytes,artifact_sha256
random,0.0,0.0,0.0,,2.2778499987907708,3.4282000211533155,0.01179997343569994,0.017005007248371836,0,0,
popularity,19.601685000001453,19.601685000001453,19.601685000001453,,0.1757500576786697,0.4067249537911266,0.010699965059757233,0.01910002902150154,433536,54879,cafa91fab15c5acb9bb4d48bad6f4e968961ec22330b07f02641731c3155421b
countsketch_cf,37.047466,37.047466,37.047466,785469440,6.537800014484674,7.554990012431517,0.016400008462369442,0.019900035113096237,28179840,15012901,696e536be2955f41e4759cacb153f3f9a03586ca102810217781f5dd9aba4cc0
als,272.977548,272.977548,272.977548,785469440,6.569650024175644,7.605825050268321,0.015799945686012506,0.019799923757091165,9393280,6974176,c0379342a06aeecd765be9e3fbbd04cef21ebf5c5878aed70762e22e46d9966f
oracle,0.0,0.0,0.0,,0.016900012269616127,0.03820494748651981,0.010399962775409222,0.01810002140700817,0,0,
