model,bucket,users,heldout_items,recall_at_10,ndcg_at_10,recommendation_exposure
random,head,798,4290,0.0002754138092483957,0.00027115609546274425,0.1905
random,mid_tail,66,128,0.0,0.0,0.306
random,long_tail,2,2,0.0,0.0,0.5035
popularity,head,798,4290,0.11333936424518039,0.09352853039069069,1.0
popularity,mid_tail,66,128,0.0,0.0,0.0
popularity,long_tail,2,2,0.0,0.0,0.0
countsketch_cf,head,798,4290,0.195385360936874,0.16768401097782887,0.9889375
countsketch_cf,mid_tail,66,128,0.00505050505050505,0.004486089560088867,0.01025
countsketch_cf,long_tail,2,2,0.0,0.0,0.0008125
als,head,798,4290,0.29202209609192653,0.2669867904552409,1.0
als,mid_tail,66,128,0.0,0.0,0.0
als,long_tail,2,2,0.0,0.0,0.0
oracle,head,798,4290,0.9563638960616048,0.9958167318568393,0.86425
oracle,mid_tail,66,128,0.6906265031265031,0.3559840283986167,0.0929375
oracle,long_tail,2,2,0.0,0.0,0.0428125
