model,segment,users,ndcg_at_10,recall_at_10,hit_rate_at_10
random,sparse,32,0.0,0.0,0.0
random,medium,222,0.0,0.0,0.0
random,heavy,546,0.0003807646113263746,0.0003698224852071006,0.003663003663003663
popularity,sparse,32,0.08020661590224797,0.1875,0.1875
popularity,medium,222,0.07822435401765399,0.11486486486486487,0.20270270270270271
popularity,heavy,546,0.09893775075071433,0.10561308414174289,0.43223443223443225
countsketch_cf,sparse,32,0.24972905565233977,0.40625,0.40625
countsketch_cf,medium,222,0.14684793132085186,0.20945945945945946,0.33783783783783783
countsketch_cf,heavy,546,0.17002584593427122,0.17498882485471245,0.6190476190476191
als,sparse,32,0.14437909946166072,0.25,0.25
als,medium,222,0.24974415726489527,0.32432432432432434,0.5045045045045045
als,heavy,546,0.27860918325331974,0.2760840324672321,0.8003663003663004
oracle,sparse,32,1.0,1.0,1.0
oracle,medium,222,1.0,1.0,1.0
oracle,heavy,546,1.0,0.935135575697016,1.0
