model,top_1_percent_share,top_5_percent_share,top_10_percent_share,top_20_percent_share,unique_recommended_items,exposure_gini,catalog_coverage,average_training_popularity_count,average_normalized_log_popularity,recommended_training_popularity_count,profile_training_popularity_count,recommended_normalized_popularity,profile_normalized_popularity,popularity_bias
random,0.0075,0.0450625,0.091625,0.1905,10639,0.5485745682019486,0.5889614703277236,647.3205625,0.24955562704509204,647.3205624999997,21225.256724842264,0.249555627045092,0.8124522146704993,-0.5628965876254067
popularity,1.0,1.0,1.0,1.0,116,0.998074450564659,0.006421612046058458,52697.8439375,0.9475278382786282,52697.84393750001,21225.256724842264,0.9475278382786303,0.8124522146704993,0.1350756236081295
countsketch_cf,0.7110625,0.938375,0.97075,0.9889375,1258,0.987869311891054,0.06964127546501328,30960.2189375,0.8692606753213281,30960.21893749995,21225.256724842264,0.8692606753213282,0.8124522146704993,0.05680846065082941
als,0.4194375,0.944625,0.9959375,1.0,1259,0.9689545574069973,0.06969663418954827,16898.65075,0.8243694051552577,16898.650750000008,21225.256724842264,0.8243694051552578,0.8124522146704993,0.011917190484758772
oracle,0.2461875,0.627125,0.7900625,0.86425,1566,0.9869522046612046,0.0866917626217892,10473.9535,0.6980724671562004,10473.953500000001,21225.256724842264,0.6980724671562002,0.8124522146704993,-0.11437974751429834
