left_model,right_model,metric,users,iterations,seed,difference,relative_difference,ci_lower,ci_upper,ci_excludes_zero
countsketch_cf,popularity,ndcg_at_10,800,2000,20260901,0.07434156525441865,0.804209571397493,0.0600643524213197,0.09005109011104837,True
countsketch_cf,popularity,recall_at_10,800,2000,20260901,0.0823489430366017,0.7388475704319196,0.06408504264755523,0.10090103190159733,True
als,countsketch_cf,ndcg_at_10,800,2000,20260901,0.09844783217209539,0.590278155693996,0.08100470842334444,0.11542736833604797,True
als,countsketch_cf,recall_at_10,800,2000,20260901,0.09462247919554477,0.4882358103216679,0.07248498949615284,0.11597618700750922,True
