left_model,right_model,metric,users,iterations,seed,difference,relative_difference,ci_lower,ci_upper,ci_excludes_zero
countsketch_cf,popularity,ndcg_at_10,800,2000,20260901,0.04288471781655376,0.3944986690539253,0.029151892185923196,0.05639271132689301,True
countsketch_cf,popularity,recall_at_10,800,2000,20260901,0.042961727169103556,0.4295572229779185,0.028159202965370576,0.057349318585729295,True
als,countsketch_cf,ndcg_at_10,800,2000,20260901,0.11077246140507918,0.7307295791867099,0.09553738046412491,0.12503321498297532,True
als,countsketch_cf,recall_at_10,800,2000,20260901,0.10456402249671942,0.7313411847625334,0.08908781701658036,0.11989912305466718,True
