model,segment,users,ndcg_at_10,recall_at_10,hit_rate_at_10
countsketch_cf,heavy,326,0.18005181995019273,0.18861864111950472,0.6380368098159509
countsketch_cf,medium,147,0.18880532950088702,0.2619047619047619,0.3673469387755102
countsketch_cf,sparse,27,0.10946835545344255,0.2222222222222222,0.2222222222222222
lightfm_id,heavy,326,0.2012047328830794,0.20069345360756513,0.6625766871165644
lightfm_id,medium,147,0.13802209506125926,0.22448979591836735,0.3469387755102041
lightfm_id,sparse,27,0.13863185164231717,0.18518518518518517,0.18518518518518517
