model,segment,users,ndcg_at_10,recall_at_10,hit_rate_at_10
popularity,heavy,78,0.11061821902426829,0.08032440686946518,0.47435897435897434
popularity,medium,22,0.07846792661504166,0.11363636363636363,0.22727272727272727
popularity,sparse,0,0.0,0.0,0.0
countsketch_cf,heavy,78,0.14228725395960254,0.12331496659113182,0.5897435897435898
countsketch_cf,medium,22,0.12811202243312833,0.22727272727272727,0.3181818181818182
countsketch_cf,sparse,0,0.0,0.0,0.0
current_hybrid,heavy,78,0.15536745407491004,0.14570217001939684,0.6153846153846154
current_hybrid,medium,22,0.13348071239037154,0.20454545454545456,0.3181818181818182
current_hybrid,sparse,0,0.0,0.0,0.0
