left_model,right_model,metric,users,iterations,seed,difference,ci_lower,ci_upper,ci_excludes_zero
countsketch_cf,popularity,ndcg_at_10,100,2000,42,0.035623548329539775,0.00425692535842443,0.06898373048617705,True
countsketch_cf,popularity,recall_at_10,100,2000,42,0.05853263658289998,0.016860323228894896,0.1053166800010248,True
current_hybrid,countsketch_cf,ndcg_at_10,100,2000,42,0.011383667880533325,-0.014031685314257743,0.037554148236776864,False
current_hybrid,countsketch_cf,recall_at_10,100,2000,42,0.012462018674046766,-0.03297887620593667,0.05608463499761238,False
current_hybrid,popularity,ndcg_at_10,100,2000,42,0.0470072162100731,0.011997959807854498,0.08107872064858641,True
current_hybrid,popularity,recall_at_10,100,2000,42,0.07099465525694675,0.03191181344597993,0.1131693007460786,True
