model,build_duration_seconds,dependency_inclusive_build_duration_seconds,inference_latency_p50_ms,inference_latency_p95_ms,serialization_latency_p50_ms,serialization_latency_p95_ms,resident_array_bytes,artifact_size_bytes,artifact_sha256
popularity,40.507854399998905,40.507854399998905,0.43635000474750996,0.6613899968215264,0.02245000359835103,0.03779500839300451,433536,57523,cbf60cf21457ac6f49119cba62a7d076c0e7f56da4e0c83954c295b2da9e632c
countsketch_cf,65.769123,65.769123,9.849649999523535,11.213725002744468,0.024050001229625195,0.027985001361230385,28179840,14967050,8eed258b731ff0efd7957a67146faa0116003f293872b4e70854c99a35fdaf91
current_hybrid,8.668688899997505,114.9456662999964,1193.571650001104,1800.5557149954254,0.023049993615131825,0.031214996852213506,45595008,134338587,be500c0ad0922e9eddcbca091549698d6a4049d2cdda8af24027187bfd685925
