positive_threshold,eligible_users,train_positive_edges,matrix_sparsity,evaluated_users,countsketch_ndcg_at_10,lightfm_id_ndcg_at_10,ndcg_absolute_delta,ndcg_relative_delta,ndcg_ci_lower,ndcg_ci_upper,countsketch_recall_at_10,lightfm_id_recall_at_10,recall_absolute_delta,recall_relative_delta,recall_ci_lower,recall_ci_upper
7,291904,35426351,0.9936510747750416,500,0.14677169877117277,0.18887525780117562,0.04210355903000295,0.2868642891137026,0.02474072386919762,0.05928780901487541,0.11427879074505023,0.13884318111512894,0.024564390370078803,0.2149514377071129,0.006825491385711452,0.042689924824337394
8,289601,24916911,0.9955241033162379,500,0.1567051454017497,0.1948341035119396,0.038128958110189924,0.24331656763686713,0.021707552784526327,0.056075179706502574,0.1484462371291653,0.16692972375411538,0.018483486624950096,0.12451300202959922,-0.0015480942025101513,0.037041366374208795
9,280257,13257591,0.9976002794685845,500,0.17881384467527234,0.17925010177646325,0.0004362571011907481,0.0024397277625957618,-0.018509980735084267,0.020833988475390256,0.2119793540099171,0.20685213175213243,-0.005127222257784618,-0.02418736617880604,-0.030115982077978012,0.020925619483266822
