left_model,right_model,metric,users,iterations,seed,difference,relative_difference,ci_lower,ci_upper,ci_excludes_zero
current_hybrid,countsketch_cf,ndcg_at_10,800,2000,20260901,0.02987141465261315,0.19705192050390663,0.019277410503863043,0.04152575026230857,True
current_hybrid,countsketch_cf,recall_at_10,800,2000,20260901,0.02525671421736049,0.1766503894732307,0.012140711047729909,0.038064519386267266,True
als,countsketch_cf,ndcg_at_10,800,2000,20260901,0.11077246140507918,0.7307295791867099,0.09553738046412491,0.12503321498297532,True
als,countsketch_cf,recall_at_10,800,2000,20260901,0.10456402249671942,0.7313411847625334,0.08908781701658036,0.11989912305466718,True
