model,top_1_percent_share,top_5_percent_share,top_10_percent_share,top_20_percent_share,unique_recommended_items,exposure_gini,catalog_coverage,average_training_popularity_count,average_normalized_log_popularity,recommended_training_popularity_count,profile_training_popularity_count,recommended_normalized_popularity,profile_normalized_popularity,popularity_bias
countsketch_cf,0.6579375,0.9193125,0.9625,0.9876875,1413,0.9852799905890168,0.07822187776793622,41877.2755,0.8764905806019694,41877.275499999974,28310.780083748432,0.8764905806019696,0.8224786027390192,0.05401197786294949
als,0.4405625,0.9235,0.9919375,1.0,1432,0.9672507750221435,0.07927369353410098,29463.1428125,0.8533830199636097,29463.142812499995,28310.780083748432,0.8533830199636104,0.8224786027390192,0.030904417224590114
current_hybrid,0.618875,0.923375,0.9758125,0.994375,1017,0.9878438191984057,0.05629982285208149,40052.7974375,0.8746932430043849,40052.79743750002,28310.780083748432,0.8746932430043851,0.8224786027390192,0.05221464026536509
current_hybrid_als,0.4424375,0.9088125,0.9839375,0.9993125,1394,0.9702624072741364,0.07717006200177148,29666.0586875,0.8517177508926295,29666.058687500023,28310.780083748432,0.8517177508926282,0.8224786027390192,0.029239148153609618
