model,build_duration_seconds,offline_training_duration_seconds,dependency_inclusive_build_duration_seconds,offline_peak_process_rss_bytes,inference_latency_p50_ms,inference_latency_p95_ms,serialization_latency_p50_ms,serialization_latency_p95_ms,resident_array_bytes,artifact_size_bytes,artifact_sha256
countsketch_cf,65.769123,65.769123,65.769123,785555456,7.782099943142384,9.46382998372428,0.017549959011375904,0.023305055219680067,28179840,14967050,8eed258b731ff0efd7957a67146faa0116003f293872b4e70854c99a35fdaf91
als,268.385031,268.385031,268.385031,1748320256,7.551899994723499,9.727005008608101,0.017400016076862812,0.023000058718025684,9393280,7280144,7c39b2bf65d7468c6f3002c2c0ed7ef4d6f98acac259e8b6f153f9db41bd4dee
current_hybrid,6.641354200080968,6.641354200080968,98.55075650012618,,947.7654000511393,1500.5776850506663,0.02010003663599491,0.024699955247342587,45595008,134338587,a196da930e9f7e13a5fcdd3a87922b10004193e5c35016f4e7984f9bbc128f99
current_hybrid_als,6.6863152999430895,6.6863152999430895,6.6863152999430895,,947.2228499944322,1476.553864980815,0.02010003663599491,0.02450506435707211,17415168,126651681,4e30717f0fcd7b7d345ba2994a4aba54c9f83e93b1323ee98bb78361ccfc9996
