model,ndcg_at_10,recall_at_10,hit_rate_at_10,ndcg_at_20,recall_at_20,mrr,catalog_coverage,novelty_bits,popularity_bias,intra_list_diversity
countsketch_cf,0.15159159360753832,0.14297570638069781,0.5775,0.16341654877675224,0.19933947789493847,0.294019453988349,0.07822187776793622,9.728831043744655,0.05401197786294949,0.8252119394129274
als,0.26236405501261795,0.247539728877417,0.77875,0.2920924947385719,0.3517999508260302,0.43412544022025396,0.07927369353410098,10.120143568052141,0.030904417224590114,0.8007438309470675
current_hybrid,0.18146300826015158,0.1682324205980582,0.63125,0.20003272272326053,0.2394765612843128,0.34849952314305027,0.05629982285208149,9.759267865845914,0.05221464026536509,0.7395553550250914
current_hybrid_als,0.2629095961640796,0.2434351641828493,0.77625,0.2921563617260749,0.34846573352849836,0.44402834440348926,0.07717006200177148,10.148343889757042,0.029239148153609618,0.7598407958006682
