model,bucket,users,heldout_items,recall_at_10,ndcg_at_10,recommendation_exposure
popularity,head,799,8203,0.09566675393587987,0.11211713834370511,1.0
popularity,mid_tail,129,274,0.0,0.0,0.0
popularity,long_tail,5,7,0.0,0.0,0.0
countsketch_cf,head,799,8203,0.14907555326536565,0.16409712090876397,0.9906875
countsketch_cf,mid_tail,129,274,0.011443337024732372,0.006224776069834586,0.008
countsketch_cf,long_tail,5,7,0.06666666666666667,0.03630835850747054,0.0013125
als,head,799,8203,0.26658599393875215,0.2895678762007169,1.0
als,mid_tail,129,274,0.0,0.0,0.0
als,long_tail,5,7,0.0,0.0,0.0
