model,top_1_percent_share,top_5_percent_share,top_10_percent_share,top_20_percent_share,unique_recommended_items,exposure_gini,catalog_coverage,average_training_popularity_count,average_normalized_log_popularity,recommended_training_popularity_count,profile_training_popularity_count,recommended_normalized_popularity,profile_normalized_popularity,popularity_bias
popularity,1.0,1.0,1.0,1.0,109,0.9980632750221435,0.006034100974313551,74015.4304375,0.9531985747184883,74015.43043749986,28783.50190690296,0.9531985747184883,0.8250146773247405,0.12818389739374644
countsketch_cf,0.66975,0.924875,0.9689375,0.9906875,1344,0.9860380176040744,0.07440212577502214,42563.4299375,0.8795747178118728,42563.42993750001,28783.50190690296,0.8795747178118737,0.8250146773247405,0.054560040487130666
als,0.44525,0.9270625,0.9949375,1.0,1388,0.9677613277790079,0.07683790965456155,29625.4981875,0.8546521116987927,29625.49818749999,28783.50190690296,0.8546521116987938,0.8250146773247405,0.029637434374050853
