left_model,right_model,metric,users,iterations,seed,difference,relative_difference,ci_lower,ci_upper,ci_excludes_zero
countsketch_cf,popularity,ndcg_at_10,800,2000,20260901,0.05245136891809655,0.46980375629994947,0.0392732068149751,0.06670323507129162,True
countsketch_cf,popularity,recall_at_10,800,2000,20260901,0.05398284619712971,0.5711885676294017,0.03922429409278062,0.06981363293366064,True
als,countsketch_cf,ndcg_at_10,800,2000,20260901,0.1233698128451554,0.7518119258244945,0.10897447699366654,0.13775152901451893,True
als,countsketch_cf,recall_at_10,800,2000,20260901,0.11325888916470342,0.7627245321313055,0.09807793968918828,0.12813399704093462,True
