model,segment,users,ndcg_at_10,recall_at_10,hit_rate_at_10
popularity,sparse,15,0.13333333333333333,0.13333333333333333,0.13333333333333333
popularity,medium,114,0.06586810775963274,0.10964912280701754,0.17543859649122806
popularity,heavy,671,0.11893778630176058,0.09106965786832154,0.5290611028315947
countsketch_cf,sparse,15,0.22618595071429154,0.3333333333333333,0.3333333333333333
countsketch_cf,medium,114,0.17547519163831743,0.2543859649122807,0.3684210526315789
countsketch_cf,heavy,671,0.16077548870353825,0.12636962352808878,0.6482861400894188
als,sparse,15,0.13471809200368415,0.3333333333333333,0.3333333333333333
als,medium,114,0.2356525550258901,0.32894736842105265,0.5175438596491229
als,heavy,671,0.2996840561112886,0.24873491612386042,0.879284649776453
