model,segment,users,ndcg_at_10,recall_at_10,hit_rate_at_10
current_hybrid,sparse,15,0.20410708744299005,0.26666666666666666,0.26666666666666666
current_hybrid,medium,113,0.2490049501287817,0.3274336283185841,0.49557522123893805
current_hybrid,heavy,672,0.1911596320750114,0.1620077380321519,0.7127976190476191
current_hybrid_learned,sparse,15,0.2495373329561709,0.3333333333333333,0.3333333333333333
current_hybrid_learned,medium,113,0.22289581707975814,0.2831858407079646,0.4424778761061947
current_hybrid_learned,heavy,672,0.17296080850391735,0.1364042620515341,0.6726190476190477
