model,top_1_percent_share,top_5_percent_share,top_10_percent_share,top_20_percent_share,unique_recommended_items,exposure_gini,catalog_coverage,average_training_popularity_count,average_normalized_log_popularity,recommended_training_popularity_count,profile_training_popularity_count,recommended_normalized_popularity,profile_normalized_popularity,popularity_bias
current_hybrid,0.6350625,0.935625,0.9825625,0.995625,919,0.9890697450730735,0.05087466784765279,41296.367125,0.8794059828410068,41296.367124999924,29513.99905979841,0.8794059828410065,0.8274594650988456,0.05194651774216008
current_hybrid_learned,0.5270625,0.8904375,0.954875,0.981375,1340,0.9829585916740479,0.0741806908768822,34846.73275,0.8540551082129194,34846.732749999996,29513.99905979841,0.8540551082129194,0.8274594650988456,0.026595643114073222
