model,top_1_percent_share,top_5_percent_share,top_10_percent_share,top_20_percent_share,unique_recommended_items,exposure_gini,catalog_coverage,average_training_popularity_count,average_normalized_log_popularity,recommended_training_popularity_count,profile_training_popularity_count,recommended_normalized_popularity,profile_normalized_popularity,popularity_bias
popularity,1.0,1.0,1.0,1.0,106,0.9980901295394154,0.005868024800708592,74292.5008,0.9535149904513022,74292.50079999998,28599.94787373389,0.9535149904513027,0.8238639592337946,0.12965103121750773
countsketch_cf,0.67385,0.9286,0.9722,0.9931,1400,0.9866678365810452,0.0775022143489814,42929.43195,0.8817865408829261,42929.431949999955,28599.94787373389,0.8817865408829257,0.8238639592337946,0.05792258164913188
item_item_cosine,0.85875,0.9741,0.9903,0.9982,678,0.9947360496014171,0.037533215234720994,54017.54065,0.913681585991686,54017.54065000003,28599.94787373389,0.913681585991688,0.8238639592337946,0.08981762675789146
als,0.50705,0.89975,0.9864,0.99985,1787,0.966569469663419,0.09892604074402125,35173.389,0.8615414729908555,35173.38900000001,28599.94787373389,0.861541472990855,0.8238639592337946,0.037677513757061215
lightfm_id,0.80635,0.99285,0.99995,1.0,686,0.989492919619132,0.03797608503100089,51197.7477,0.910554876246622,51197.747700000036,28599.94787373389,0.9105548762466227,0.8238639592337946,0.08669091701282759
lightfm_hybrid,0.75385,0.98605,0.9979,1.0,760,0.9876611769264836,0.0420726306465899,46952.60685,0.9013622528786356,46952.60684999999,28599.94787373389,0.9013622528786357,0.8238639592337946,0.07749829364484127
