model,ndcg_at_10,recall_at_10,hit_rate_at_10,ndcg_at_20,recall_at_20,mrr,catalog_coverage,novelty_bits,popularity_bias,intra_list_diversity
popularity,0.10231615007126692,0.08812440819883247,0.442,0.11488466465711429,0.1420985980666069,0.21532643652357278,0.005868024800708592,8.424469379476648,0.12965103121750773,0.8222215735726277
countsketch_cf,0.15342408052065468,0.14077607813152876,0.584,0.16654528873801455,0.20050521773445548,0.29600839959404196,0.0775022143489814,9.639147168470846,0.05792258164913188,0.826380457033507
item_item_cosine,0.164960212141104,0.14718793539641656,0.601,0.17768720829773255,0.20774268379575794,0.30447411792284074,0.037533215234720994,9.099023924406417,0.08981762675789146,0.8258693311659099
als,0.18407633120169223,0.1907947254121277,0.681,0.22451179083894723,0.30984809956724296,0.3186876807317204,0.09892604074402125,9.981985114267452,0.037677513757061215,0.7985092780319102
lightfm_id,0.18334981155897256,0.15893519445479865,0.643,0.20253025754440923,0.24319984499227773,0.34802077392851327,0.03797608503100089,9.151972857539747,0.08669091701282759,0.7990307559253599
lightfm_hybrid,0.17468238385292992,0.1482605251652659,0.625,0.1916652468951991,0.2257719301432482,0.32269725892442586,0.0420726306465899,9.307644358804238,0.07749829364484127,0.7770481363884658
