model,build_duration_seconds,offline_training_duration_seconds,dependency_inclusive_build_duration_seconds,offline_peak_process_rss_bytes,inference_latency_p50_ms,inference_latency_p95_ms,serialization_latency_p50_ms,serialization_latency_p95_ms,resident_array_bytes,artifact_size_bytes,artifact_sha256
popularity,20.557271099998616,20.557271099998616,20.557271099998616,,0.2183000324293971,0.3666399978101253,0.013599987141788006,0.020904932171106335,433536,57523,d1ffeecb9eba3fa456dc71fa5e3f6f00cc4cc2dd2d92336cebb88263ecd82a92
countsketch_cf,65.769123,65.769123,65.769123,784912384,6.926050002221018,8.037419966422021,0.015600002370774746,0.017900019884109497,28179840,14967050,8eed258b731ff0efd7957a67146faa0116003f293872b4e70854c99a35fdaf91
item_item_cosine,109.7607374000363,109.7607374000363,109.7607374000363,4494061568,5.716450046747923,7.133770070504397,0.015400000847876072,0.018505024490877982,29046912,17198732,445c09d50b6abb9ab0e1bbd3001520797185dca888c4c667ad71f6813c464673
als,202.08043349999934,202.08043349999934,202.08043349999934,4494061568,6.867049960419536,8.040209981845692,0.016300007700920105,0.019200029782950878,4768896,3639190,07d27c9347a1e526947904e21ceffccf12289ecf66e527f34a8a0d4ae08a7ff6
lightfm_id,102.231642,297.612526,297.612526,1404833792,1.186200010124594,1.399520062841475,0.014299992471933365,0.022304937010630962,24866572,20935227,f0850327c566d420ad7175ac2e3c6b4d674f01ee3a33704f3629b9f4242fdd02
lightfm_hybrid,265.001859,715.275,715.275,1411039232,1.164150016847998,1.3858799648005515,0.01409999094903469,0.02181493910029529,24866572,20928437,da5944dc317fed43a7b2e8df05dd97aea96d8da8557d21d03afee3fcf3f55054
