model,ndcg_at_10,recall_at_10,hit_rate_at_10,ndcg_at_20,recall_at_20,mrr,catalog_coverage,novelty_bits,popularity_bias,intra_list_diversity
popularity,0.12922956433493124,0.03736653137003172,0.6386554621848739,0.11473564843100079,0.058577415875991454,0.3114998287377767,0.005535872453498672,8.492762801458051,0.22456951139464448,0.8230643959215385
countsketch_cf,0.15845255619862464,0.06310310140154989,0.7226890756302521,0.1504408633163842,0.09469845215729736,0.32940664094630334,0.037145704162976086,10.451714848504292,0.10889060923103995,0.8294559482485181
lightfm_id,0.21610677962173688,0.06829743479607096,0.7983193277310925,0.20378724796543315,0.111962784613412,0.4251709774819019,0.03116696191319752,9.498865855110223,0.16515769634515323,0.7946224207386303
lightfm_hybrid,0.20502181843637407,0.07192500577734805,0.7647058823529411,0.19389590290749603,0.11455123884256349,0.3855303927412185,0.03592781222320638,9.807676665500049,0.14692197915339616,0.7810496037453136
