model,build_duration_seconds,offline_training_duration_seconds,dependency_inclusive_build_duration_seconds,offline_peak_process_rss_bytes,inference_latency_p50_ms,inference_latency_p95_ms,serialization_latency_p50_ms,serialization_latency_p95_ms,resident_array_bytes,artifact_size_bytes,artifact_sha256
popularity,21.627825299976394,21.627825299976394,21.627825299976394,,0.19215000793337822,0.2724100078921765,0.01409999094903469,0.019515003077685836,433536,57523,d1ffeecb9eba3fa456dc71fa5e3f6f00cc4cc2dd2d92336cebb88263ecd82a92
countsketch_cf,65.769123,65.769123,65.769123,786255872,6.885699986014515,7.800580014009029,0.018999999156221747,0.022509996779263023,28179840,14967050,8eed258b731ff0efd7957a67146faa0116003f293872b4e70854c99a35fdaf91
lightfm_id,102.231642,297.612526,297.612526,1404833792,1.170800009276718,1.3334549963474274,0.01479999627918005,0.02049998292932287,24794316,20935227,f0850327c566d420ad7175ac2e3c6b4d674f01ee3a33704f3629b9f4242fdd02
lightfm_hybrid,265.001859,715.275,715.275,1411039232,1.1674499837681651,1.3273549790028483,0.015199999324977398,0.023110001347959045,24794316,20928437,da5944dc317fed43a7b2e8df05dd97aea96d8da8557d21d03afee3fcf3f55054
