model,ndcg_at_10,recall_at_10,hit_rate_at_10,ndcg_at_20,recall_at_20,mrr,catalog_coverage,novelty_bits,popularity_bias,intra_list_diversity
popularity,0.08692894852309112,0.0932085939063617,0.25333333333333335,0.1035003066094527,0.15121352531741275,0.1475525287549282,0.004151904340124003,8.339352803946754,0.11679247511800347,0.8288722897959739
countsketch_cf,0.1357236540317473,0.17155467736130492,0.38,0.1502721825501343,0.22974638678154222,0.1865275639966044,0.060673162090345435,9.884717561349406,0.02553649013961174,0.8210999028749035
lightfm_id,0.13753531190884896,0.16064029563989357,0.4033333333333333,0.1591636542675629,0.2510742775169255,0.21105810976089637,0.02496678476527901,9.114305803415721,0.0710303992457915,0.7899862115710801
lightfm_hybrid,0.13003878824742984,0.14655759159593204,0.37333333333333335,0.14724857819353612,0.21402813377317992,0.19340356504520612,0.028731178033658104,9.280524502562857,0.06121494885465222,0.7595685784001572
