model,bucket,users,heldout_items,recall_at_10,ndcg_at_10,recommendation_exposure
random,head,799,10391,0.0005350338753632244,0.0012131249070772906,0.200125
random,mid_tail,198,515,0.0,0.0,0.299875
random,long_tail,9,14,0.0,0.0,0.5
popularity,head,799,10391,0.08575831954719028,0.11749707588456777,1.0
popularity,mid_tail,198,515,0.0,0.0,0.0
popularity,long_tail,9,14,0.0,0.0,0.0
countsketch_cf,head,799,10391,0.12162317896964452,0.15337933756340674,0.984625
countsketch_cf,mid_tail,198,515,0.004797979797979798,0.002580660602464449,0.0133125
countsketch_cf,long_tail,9,14,0.0,0.0,0.0020625
als,head,799,10391,0.2381450408964282,0.2878102673371657,1.0
als,mid_tail,198,515,0.0,0.0,0.0
als,long_tail,9,14,0.0,0.0,0.0
oracle,head,799,10391,0.7844782519049829,0.985117591926157,0.897875
oracle,mid_tail,198,515,0.47159617879314863,0.24786445838027144,0.0765
oracle,long_tail,9,14,0.2222222222222222,0.16666666666666666,0.025625
