left_model,right_model,metric,users,iterations,seed,difference,relative_difference,ci_lower,ci_upper,ci_excludes_zero
countsketch_cf,popularity,ndcg_at_10,800,2000,20260901,0.03606248622188897,0.30800457636374823,0.022137067385577327,0.04945134879118088,True
countsketch_cf,popularity,recall_at_10,800,2000,20260901,0.03551512235651783,0.4215115076845808,0.021573357529373866,0.04872012375153182,True
als,countsketch_cf,ndcg_at_10,800,2000,20260901,0.13304785053313967,0.8687605747374254,0.11919595147789405,0.1468463164149002,True
als,countsketch_cf,recall_at_10,800,2000,20260901,0.11340501143343246,0.9468430319448903,0.10001581473854611,0.127587702775371,True
