model,build_duration_seconds,offline_training_duration_seconds,dependency_inclusive_build_duration_seconds,offline_peak_process_rss_bytes,inference_latency_p50_ms,inference_latency_p95_ms,serialization_latency_p50_ms,serialization_latency_p95_ms,resident_array_bytes,artifact_size_bytes,artifact_sha256
countsketch_cf,65.769123,65.769123,65.769123,785129472,7.7178499777801335,9.770684986142442,0.016400008462369442,0.02170504885725677,28179840,14967050,8eed258b731ff0efd7957a67146faa0116003f293872b4e70854c99a35fdaf91
als,268.385031,268.385031,268.385031,785129472,7.07985000917688,9.247659979155287,0.01785001950338483,0.024105061311274767,9393280,7280144,7c39b2bf65d7468c6f3002c2c0ed7ef4d6f98acac259e8b6f153f9db41bd4dee
