model,segment,users,ndcg_at_10,recall_at_10,hit_rate_at_10
popularity,heavy,814,0.1085223503475708,0.08369091916318487,0.5
popularity,medium,169,0.08271572123280628,0.11834319526627218,0.20710059171597633
popularity,sparse,17,0.0,0.0,0.0
countsketch_cf,heavy,814,0.15795809045681716,0.12748903947362256,0.6474201474201474
countsketch_cf,medium,169,0.13712735399355958,0.20118343195266272,0.31952662721893493
countsketch_cf,sparse,17,0.09833365081727946,0.17647058823529413,0.17647058823529413
lightfm_id,heavy,814,0.1999374219899514,0.15348303987076006,0.7235872235872236
lightfm_id,medium,169,0.11182504363983327,0.1834319526627219,0.30177514792899407
lightfm_id,sparse,17,0.10013633435413356,0.17647058823529413,0.17647058823529413
lightfm_hybrid,heavy,814,0.19051753131667115,0.14712595229148154,0.7100737100737101
lightfm_hybrid,medium,169,0.10566895483323645,0.15088757396449703,0.2603550295857988
lightfm_hybrid,sparse,17,0.10253294084368023,0.17647058823529413,0.17647058823529413
