model,build_duration_seconds,offline_training_duration_seconds,dependency_inclusive_build_duration_seconds,offline_peak_process_rss_bytes,inference_latency_p50_ms,inference_latency_p95_ms,serialization_latency_p50_ms,serialization_latency_p95_ms,resident_array_bytes,artifact_size_bytes,artifact_sha256
popularity,0.03946360002737492,0.03946360002737492,0.03946360002737492,,0.1838000025600195,0.21844000439159572,0.016700010746717453,0.02189001970691606,433536,36531,3a3540b2e584926b7e6e364dcd0c1f535912ffb51922d74d8a936bb7849ebc8b
countsketch_cf,0.2324271000106819,0.2324271000106819,0.2324271000106819,785924096,6.766550010070205,7.52122499543475,0.019049999536946416,0.02220499445684254,28179840,965505,79b50ca0aff7c3ad1848999c85a44764c8a4f7166ad56819d67f591e111edf0a
lightfm_id,0.105958,16.714841,16.714841,800317440,1.1844000109704211,1.335235005535651,0.01645000884309411,0.02120998688042163,1410788,1168335,dda787a0d3ff12d7cb2ef2d8c722c884ecace771d10a9c35e0b44d4732830adf
lightfm_hybrid,0.426169,17.477553,17.477553,800317440,1.1832999880425632,1.364990025467705,0.017799990018829703,0.027685005625244227,1410788,1192460,03267e4344ec330018bd1596a24446458ab2aabade37f8800ad1f8f138093277
